Abdominal_Lower,Abdominal_Obliques,Abdominal_Total,Abdominal_Upper,Back_Latissimus_Dorsi,Trapezius_and_Rhomboids,Arms_Biceps_Triceps,Calves_Gastrocnemius,Calves_Soleus,Chest_Pectoralis,Legs_Hamstrings,Legs_Quadriceps,Lower_Back_Erector_Spinae,Shoulders_Delts_and_Traps,Gluteals,Full_Body_Movements,Chest_and_Back,Hamstrings_and_Quadriceps,Deltoids_and_Lats,Quads_Hamstrings_Glutes,Full_Core,Abdominal_Total,Abdominal_Obliques,Abdominal_Lower,Abdominal_Upper,Lower_Back,Total Core
Full_Reverse_Crunch,Alternating_Heel_Touch,Front_Plank_from_knees,Bent-Knee-Sit-Up,Assisted-Pull-Up,Bent-Over-Alternating-Dumbbell-Row,Alternating-Dumbbell-Curl,Barbell-Calf-Raise,Seated-Calf-Raise,Alternating-Dumbbell-Bench-Press,Bent-Knee-Single-Leg-Hip-Lift  (bridge),Barbell-Diagonal-Lunge,Alternating-Superman,Arnold-Dumbbell-Press,Hip Thrust,Snatch,Alternating-Dumbbell-Bench-Press,Bent-Knee-Single-Leg-Hip-Lift  (bridge),Arnold-Dumbbell-Press,Barbell-Diagonal-Lunge,Full_Reverse_Crunch,Front_Plank_from_knees,Alternating_Heel_Touch,Full_Reverse_Crunch,Bent-Knee-Sit-Up,Alternating-Superman,Incline-Hip-Thrust
Incline-Hip-Thrust,Bent-Knee-Medicine-Ball-Hip-Rotation,Front-Plank-from-toes,Bent-Knee-Crunch,Close-Grip-Lat-Pulldown,Bent-Over-Barbell-Row,Alternating-Hammer-Curl,Calf-Press,Seated-Single-Leg-Calf-Raise,Barbell-Bench-Press,Elevated-Hip-Lift  (bridge),Barbell-Hack-Squat,Back-Raise,Barbell-Shoulder-Press,Glute Bridge,Clean,Barbell-Bench-Press,Elevated-Hip-Lift  (bridge),Barbell-Shoulder-Press,Barbell-Hack-Squat,Incline-Hip-Thrust,Front-Plank-from-toes,Bent-Knee-Medicine-Ball-Hip-Rotation,Incline-Hip-Thrust,Bent-Knee-Crunch,Back-Raise,Incline-Reverse-Crunch
Incline-Reverse-Crunch,Cable-Chop,Front-Plank,Crunch,Inverted-Pull-Up,Bent-Over-Dumbbell-Row,Barbell-Curl,Calf-Raise-Seated,,Chest-Press,Elevated-Single-Leg-Hip-Lift  (bridge),Barbell-Lunge,Quadruped-Alternating-Superman,Dumbbell-Alternating-Shoulder-Press,Step Ups,Hang Clean,Chest-Press,Elevated-Single-Leg-Hip-Lift  (bridge),Dumbbell-Alternating-Shoulder-Press,Barbell-Lunge,Incline-Reverse-Crunch,Front-Plank,Cable-Chop,Incline-Reverse-Crunch,Crunch,Quadruped-Alternating-Superman,Lying-Hip-Thrust
Lying-Hip-Thrust,Cross-Crunch,Side-Plank-from-knees,Crunch-toe-touch,Lat-Pulldown,Bent-Over-Hammer-Dumbbell-Row,Bicep-Curl,Calf-Raise-Standing,,Decline-Dumbbell-Bench-Press,Hip-Lift  (bridge),Barbell-Reverse-Lunge,Superman,Dumbbell-Front-Raise,Glute Kickbacks,Clean and Jerk,Decline-Dumbbell-Bench-Press,Hip-Lift  (bridge),Dumbbell-Front-Raise,Barbell-Reverse-Lunge,Lying-Hip-Thrust,Side-Plank-from-knees,Cross-Crunch,Lying-Hip-Thrust,Crunch-toe-touch,Superman,Reverse-Crunch
Reverse-Crunch,Cross-Crunch-with-Medicine-Ball,Side-Plank-hip-lift,Decline-Crunch,Pull-Up,Bent-Over-Long-Barbell-Row,Bottom-Top-Full-Curls,Dumbbell-Calf-Raise,,Decline-Smith-Machine-Bench-Press,Single-Leg-Hip-Lift,Barbell-Side-Lunge,Superman-Hold,Dumbbell-Shoulder-Press,Rope Pull Throughs,Clean and Press,Decline-Smith-Machine-Bench-Press,Single-Leg-Hip-Lift,Dumbbell-Shoulder-Press,Barbell-Side-Lunge,Reverse-Crunch,Side-Plank-hip-lift,Cross-Crunch-with-Medicine-Ball,Reverse-Crunch,Decline-Crunch,Superman-Hold,Reverse-Medicine-Ball-Crunch
Reverse-Medicine-Ball-Crunch,Decline-Cross-Sit-Up,Side-Plank-from-toes,Decline-Sit-Up,Reverse-Grip-Lat-Pullown,Bent-Over-Reverse-Grip-Barbell-Row,Cable-Curl,Single-Leg-Calf-Press,,Dumbbell-Bench-Press,Deadlift,Barbell-Split-Squat,,Dumbbell-Twisting-Shoulder-Press,Cable Hip Extensions,Squats,Dumbbell-Bench-Press,Deadlift,Dumbbell-Twisting-Shoulder-Press,Barbell-Split-Squat,Reverse-Medicine-Ball-Crunch,Side-Plank-from-toes,Decline-Cross-Sit-Up,Reverse-Medicine-Ball-Crunch,Decline-Sit-Up,Bird Dog,Alternating_Heel_Touch
,Decline-Sit-Up-with-Twist,Ab-Cycle,Heel-Touch,Reverse-Grip-Pull-Up,Bent-Over-Single-Arm-Long-Barbell-Row,Concentration-Dumbbell-Curl,Single-Leg-Dumbbell-Calf-Raise,,Dumbbell-Push-Up,Leg-Curl,Barbell-Squat,,Machine-Shoulder-Press,Lunges,Split Lunges,Dumbbell-Push-Up,Leg-Curl,Machine-Shoulder-Press,Barbell-Squat,Alternating_Heel_Touch,Ab-Cycle,Decline-Sit-Up-with-Twist,,Heel-Touch,Hyper-extension,Bent-Knee-Medicine-Ball-Hip-Rotation
,Reverse-Cable-Chop,Kneeling-Ab-Rollout,Sit-Up,V-Bar-Pull-Up,Machine-Row,Cross-Body-Hammer-Curl,Smith-Machine-Calf-Raise,,Elevated-Push-Up,Lying-Alternating-Leg-Curl,Barbell-Step-Up,,Seated-Dumbbell-Rear-Delt-Elbow-Raise,Deadlift,Prowler,Elevated-Push-Up,Lying-Alternating-Leg-Curl,Seated-Dumbbell-Rear-Delt-Elbow-Raise,Barbell-Step-Up,Bent-Knee-Medicine-Ball-Hip-Rotation,Kneeling-Ab-Rollout,Reverse-Cable-Chop,,Sit-Up,,Cable-Chop
,Seated-Medicine-Ball-Twist,Medicine-Ball-V-Up,Weighted-Crunch,Wide-Grip-Lat-Pulldown,One-Arm-Dumbbell-Row,Dumbbell-Curl,,,Flat-Bench-Press,Lying-Leg-Curl,Barbell-Walking-Lunge,,Single-Arm-Dumbbell-Shoulder-Press,Pistol Squats,Push Press,Flat-Bench-Press,Lying-Leg-Curl,Single-Arm-Dumbbell-Shoulder-Press,Barbell-Walking-Lunge,Cable-Chop,Medicine-Ball-V-Up,Seated-Medicine-Ball-Twist,,Weighted-Crunch,,Cross-Crunch
